Date,Open,High,Low,Close,Volume
8/14/2017,494,494.600006,488.575012,444.350922,3816470
8/16/2017,491,493.049988,484.5,441.52124,6178080
8/17/2017,502.5,514.625,499.024994,462.18927,25784260
8/18/2017,508.950012,508.950012,442.100006,418.000946,164404960
8/21/2017,462,462,435,395.431366,90407176
8/22/2017,447.600006,448.524994,430,396.336853,49242598
8/23/2017,440,451.850006,436.950012,404.214722,61284190
8/24/2017,455,459.125,451.174988,412.975403,42380524
8/28/2017,471.975006,476.975006,469,426.037201,40712108
8/29/2017,470.725006,471,462.774994,419.902466,13369392
8/30/2017,468.600006,469.5,462.049988,419.540344,16149664
8/31/2017,464.399994,464.475006,456.450012,414.243134,15022452
9/1/2017,457.975006,462.950012,455,416.506836,8433922
9/4/2017,460.5,460.549988,446.75,407.565033,10177108
9/5/2017,451,452.5,448.625,408.334717,9783392
9/6/2017,450,450.149994,445,405.482391,7735910
9/7/2017,450,450.25,446.174988,405.550323,6241192
9/8/2017,449.5,449.5,441.049988,400.366333,8604542
9/11/2017,445.200012,445.899994,436.825012,397.830963,13787642
9/12/2017,441.274994,443.875,439.399994,400.253113,17241354
9/13/2017,442.75,443.799988,440.5,400.117279,11478228
9/14/2017,442.25,448.299988,440.799988,404.03363,13698006
9/15/2017,446.149994,456.625,446.100006,411.209625,13459460
9/18/2017,455,458.875,453.149994,411.594482,8475860
9/19/2017,454,458,451.75,413.02066,6033330
9/20/2017,458.5,458.5,453.725006,413.224396,5767830
9/21/2017,457.5,457.625,454.075012,411.798248,8204152
9/22/2017,454.075012,455.125,444,406.704834,17604088
9/25/2017,450.5,450.975006,444.549988,405.369141,9088700
9/26/2017,448.5,454.200012,447.149994,410.145721,7366478
9/27/2017,453.049988,453.950012,447.549988,407.383942,6000138
9/28/2017,448.049988,451.950012,447.149994,405.663483,17537266
9/29/2017,449,451.200012,447.5,407.42926,5705832
10/3/2017,455.049988,456,450.799988,409.081757,4947522
10/4/2017,451.5,452.700012,448.575012,407.293365,4991492
10/5/2017,450,452.475006,449.5,408.855316,8611300
10/6/2017,452,461,451.975006,416.597412,8574308
10/9/2017,460,464.5,457,418.295258,3504832
10/10/2017,469.975006,469.975006,464.774994,423.524475,7143220
10/11/2017,467.725006,469,464,421.373901,5982504
10/12/2017,465,467.174988,459.774994,419.834564,10280972
10/13/2017,466.399994,466.75,463.774994,421.102264,7180728
10/16/2017,467.975006,471,466.5,425.131714,5758750
10/17/2017,468.399994,468.399994,464.75,421.283417,5625102
10/18/2017,464.450012,465,461.475006,418.498932,7231852
10/19/2017,465,466,462.600006,419.676117,1091434
10/23/2017,465,471,464.049988,425.358093,9154096
10/24/2017,473,473.325012,460.799988,419.472412,14529328
10/25/2017,459.5,472.350006,457.625,423.456543,13984134
10/26/2017,471,475.899994,470.049988,428.91217,33659258
10/27/2017,477.5,478.850006,472,428.459412,8524956
10/30/2017,477.325012,477.325012,470.524994,427.440704,12968326
10/31/2017,462.5,465,460,423.194305,9954988
11/1/2017,462.5,464.700012,461.649994,425.581512,5633134
11/2/2017,461.524994,463,460,423.676392,4686138
11/3/2017,458.5,464.950012,458.475006,425.397919,3699086
11/6/2017,461.575012,467.5,461.325012,426.33902,5066534
11/7/2017,463.125,480,462.924988,438.64209,13442820
11/8/2017,480.125,480.924988,473.75,437.173035,5369994
11/9/2017,476.5,481.5,474.125,438.183044,4723232
11/10/2017,479.399994,482.174988,475,441.648987,6589428
11/13/2017,481.024994,484.700012,474.674988,437.01239,5021216
11/14/2017,475.975006,477.424988,471.625,435.70401,5733710
11/15/2017,472.575012,476.75,472.25,436.943512,7023516
11/16/2017,475.899994,497.950012,474.25,453.745544,15687502
11/17/2017,492.75,492.75,482.575012,445.73468,8057670
11/20/2017,484.5,485.5,478.625,440.960388,5661190
11/21/2017,480.649994,485.75,480.024994,443.577118,5364656
11/22/2017,483.299988,485.524994,481.649994,443.600067,6084920
11/23/2017,485.75,497.225006,484.5,455.053925,11894618
11/24/2017,495.450012,509.649994,495.100006,463.454834,18619912
11/27/2017,503.350006,503.350006,496.649994,458.496887,6017730
11/28/2017,497.200012,499.950012,490.649994,452.046936,4616868
11/29/2017,493.825012,495.975006,490.149994,451.128845,3838070
11/30/2017,494.725006,494.725006,484.174988,448.098877,17266944
12/1/2017,489.700012,491.600006,478.524994,440.157013,4085000
12/4/2017,490,498.399994,484.274994,452.345306,17811606
12/5/2017,492.674988,501.5,489.5,451.886292,9976738
12/6/2017,492.5,497.049988,492,454.617706,7490094
12/7/2017,494.5,501.450012,492.799988,458.978943,7549544
12/8/2017,500.5,503.5,497.5,459.920013,5983244
12/11/2017,497.475006,503.450012,496.975006,461.503845,5139098
12/12/2017,501,507,501,463.890991,9320434
12/13/2017,505.450012,509.5,498.825012,460.792297,5362398
12/14/2017,502.625,507.5,499.649994,465.084534,6023572
12/15/2017,506.5,513.200012,505.924988,469.583466,10384134
12/18/2017,505.950012,515.349976,502.899994,466.691315,4035448
